area_sqft,bedrooms,bathrooms,age_years,waterfront,floors,condition,grade,price
1180,3,1.0,59,0,1.0,3,7,221900.0
2570,3,2.25,63,0,2.0,3,7,538000.0
770,2,1.0,82,0,1.0,3,6,180000.0
1960,4,3.0,49,0,1.0,5,7,604000.0
1680,3,2.0,28,0,1.0,3,8,510000.0
5420,4,4.5,13,0,1.0,3,11,1225000.0
1715,3,2.25,19,0,2.0,3,7,257500.0
1060,3,1.5,52,0,1.0,3,7,291850.0
1780,3,1.0,55,0,1.0,3,7,229500.0
1890,3,2.5,12,0,2.0,3,7,323000.0
3560,3,2.5,50,0,1.0,3,8,662500.0
1160,2,1.0,72,0,1.0,4,7,468000.0
1430,3,1.0,87,0,1.5,4,7,310000.0
1370,3,1.75,37,0,1.0,4,7,400000.0
1810,5,2.0,115,0,1.5,3,7,530000.0
2950,4,3.0,36,0,2.0,3,9,650000.0
1890,3,2.0,20,0,2.0,3,7,395000.0
1600,4,1.0,98,0,1.5,4,7,485000.0
1200,2,1.0,93,0,1.0,4,7,189000.0
1250,3,1.0,46,0,1.0,4,7,230000.0
1620,4,1.75,67,0,1.0,4,7,385000.0
3050,3,2.75,46,0,1.0,3,9,2000000.0
2270,5,2.5,19,0,2.0,3,8,285000.0
1070,2,1.5,29,0,1.0,3,7,252700.0
2450,3,2.25,29,0,2.0,4,8,329000.0
1710,3,2.0,73,0,1.5,5,6,233000.0
2450,3,1.75,99,0,2.0,3,8,937000.0
1400,3,1.0,105,0,1.5,5,8,667000.0
1520,3,1.75,66,0,1.0,3,7,438000.0
2570,4,2.5,10,0,2.0,3,8,719000.0
2320,3,2.5,11,0,2.0,3,8,580500.0
1190,2,1.5,9,0,3.0,3,7,280000.0
2330,4,1.75,85,0,1.5,4,7,687500.0
1090,3,1.0,85,0,1.5,4,8,535000.0
2060,4,2.75,33,0,1.0,3,7,322500.0
2300,3,2.5,84,0,1.5,3,8,696000.0
1660,4,1.0,81,0,1.0,1,5,550000.0
2360,4,2.0,110,0,2.0,4,8,640000.0
1220,4,1.0,46,0,1.0,2,7,240000.0
2620,4,2.5,18,0,2.0,3,8,605000.0
2570,4,2.5,14,0,2.0,3,9,625000.0
4220,4,2.25,30,0,1.0,3,8,775000.0
3595,5,2.75,0,0,2.0,3,9,861990.0
1570,3,1.0,92,0,2.0,3,7,685000.0
1280,3,1.0,55,0,1.0,4,6,309000.0
3160,3,2.5,11,0,2.0,3,8,488000.0
990,3,1.0,49,0,1.0,3,6,210490.0
2290,4,2.5,33,0,2.0,4,9,785000.0
1250,3,1.75,62,0,1.0,4,7,450000.0
2753,3,2.5,62,1,1.0,5,9,1350000.0
1190,3,1.0,59,0,1.0,3,7,228000.0
3150,5,2.5,49,0,1.0,4,8,345000.0
1410,3,1.75,64,0,1.0,4,7,600000.0
1980,2,1.75,34,0,1.0,3,7,585000.0
2730,5,2.25,88,0,1.5,3,8,920000.0
2830,4,2.5,19,0,2.0,3,9,885000.0
2250,4,2.5,6,0,2.0,3,7,292500.0
2420,3,2.5,12,0,2.0,3,8,301000.0
3250,5,3.25,46,0,2.0,4,8,951000.0
1850,4,3.0,24,0,2.0,3,8,430000.0
2150,3,2.25,55,0,1.0,4,8,650000.0
1260,3,1.75,60,0,1.0,3,7,289000.0
2519,3,1.75,41,0,2.0,5,8,505000.0
